"","stop_name","stop_lat","stop_lon","stop_area"
"477","Keskturg",59.431541269155,24.7688414981154,"Kesklinn"
"478","J. Poska",59.440116910318,24.7855854034835,"Kesklinn"
"479","J. Poska",59.4409708876401,24.7864169633662,"Kesklinn"
"480","J. Poska",59.4409587539108,24.7869454473186,"Kesklinn"
"481","J. Poska",59.4408260148854,24.7866251328263,"Kesklinn"
"482","Kadriorg",59.4386541456532,24.7835250290606,"Kesklinn"
"483","L. Koidula",59.438744551966,24.7773586040694,"Kesklinn"
"484","Uus-Sadama",59.4390958497165,24.7771551040679,"Kesklinn"
"485","Uus-Sadama",59.4390103552475,24.7764305585494,"Kesklinn"
"486","Vabaduse väljak",59.4328063469279,24.7471254627717,"Kesklinn"
"487","Vabaduse väljak",59.4329404824862,24.7472165015841,"Kesklinn"
"488","Vabaduse väljak",59.4329897582683,24.7464422457821,"Kesklinn"
"489","Vabaduse väljak",59.432499365403,24.7426782703133,"Kesklinn"
"490","Vabaduse väljak",59.4323231109816,24.7420962551946,"Kesklinn"
"492","Vabaduse väljak",59.4338686711179,24.7465858991575,"Kesklinn"
"493","Vabaduse väljak",59.4320149013484,24.7458042258537,"Kesklinn"
"494","Vabaduse väljak",59.4327246392836,24.7458028793725,"Kesklinn"
"495","Vabaduse väljak",59.4332211449772,24.7459101677331,"Kesklinn"
"496","Viru",59.4361567339856,24.7514998034737,"Kesklinn"
"497","Viru",59.436033085239,24.7511446279124,"Kesklinn"
"498","Mere puiestee",59.4376191806302,24.7532062150896,"Kesklinn"
"499","Mere puiestee",59.4375038861396,24.7533345222867,"Kesklinn"
"500","A. Laikmaa",59.436139647945,24.7576145599703,"Kesklinn"
"501","A. Laikmaa",59.4367055903923,24.7575445008701,"Kesklinn"
"502","Hobujaama",59.4374535413783,24.7570444949313,"Kesklinn"
"503","Hobujaama",59.438016981776,24.7574094567165,"Kesklinn"
"504","Hobujaama",59.4376490808274,24.7573836770462,"Kesklinn"
"505","Mere puiestee",59.4383144422172,24.7540674941309,"Kesklinn"
"506","Hobujaama",59.437105368918,24.7582704157997,"Kesklinn"
"507","Pronksi",59.4374149774014,24.7637229600953,"Kesklinn"
"508","Pronksi",59.4371973208299,24.7610040867198,"Kesklinn"
"509","Pronksi",59.4371185853149,24.7622007231834,"Kesklinn"
"511","Pronksi",59.4372084439184,24.7621851044082,"Kesklinn"
"512","Maneeşi",59.4365172065649,24.7606364767008,"Kesklinn"
"513","Maneeşi",59.4360516931549,24.7604146392329,"Kesklinn"
"514","Maneeşi",59.4357599922632,24.7611835452217,"Kesklinn"
"515","Kunstiakadeemia",59.4354819285759,24.7595913220904,"Kesklinn"
"516","Hotell Olümpia",59.4310154292671,24.7604600496852,"Kesklinn"
"517","Paberi",59.4336685394724,24.7620892525117,"Kesklinn"
"518","Kunstiakadeemia",59.4353452242848,24.7583899554706,"Kesklinn"
